dataset,model,dim,exp,acc
adult,w2v,100,5,0.8372152546711031
adult,Glove,100,5,0.8367033529562324
adult,w2v,100,5,0.8387509598157153
adult,Glove,100,5,0.847453288968518
adult,w2v,100,5,0.8438699769644228
adult,Glove,100,5,0.8477092398259534
adult,w2v,100,6,0.8433981576253838
adult,Glove,100,6,0.8339303991811668
adult,w2v,100,6,0.8485158648925282
adult,Glove,100,6,0.8367451381780963
adult,w2v,100,6,0.8454452405322416
adult,Glove,100,6,0.8408393039918116
adult,w2v,100,6,0.8497568466854364
adult,Glove,100,6,0.8407985666751984
adult,w2v,100,6,0.8477092398259534
adult,Glove,100,6,0.8497568466854364
adult,w2v,100,6,0.8448937803941643
adult,Glove,100,6,0.8292807780906066
adult,w2v,100,6,0.8489889941131302
adult,Glove,100,6,0.8454056821090351
adult,w2v,100,6,0.8395188123880215
adult,Glove,100,6,0.8287688763757358
adult,w2v,100,6,0.847453288968518
adult,Glove,100,6,0.8285129255183005
adult,w2v,100,6,0.8420783209623752
adult,Glove,100,6,0.8356795495264909
adult,w2v,100,7,0.8533776867963152
adult,Glove,100,7,0.8410951893551689
adult,w2v,100,7,0.8505629477993859
adult,Glove,100,7,0.8492835209825998
adult,w2v,100,7,0.8416069600818833
adult,Glove,100,7,0.8446775844421699
adult,w2v,100,7,0.8407985666751984
adult,Glove,100,7,0.8290248272331713
adult,w2v,100,7,0.8520604044023548
adult,Glove,100,7,0.8512925518300486
adult,w2v,100,7,0.8523163552597901
adult,Glove,100,7,0.8423342718198106
adult,w2v,100,7,0.8423342718198106
adult,Glove,100,7,0.829536728948042
adult,w2v,100,7,0.853596109546967
adult,Glove,100,7,0.8479651906833888
adult,w2v,100,7,0.8530842078320963
adult,Glove,100,7,0.8454056821090351
adult,w2v,100,7,0.8407985666751984
adult,Glove,100,7,0.8256974660865114
adult,w2v,100,8,0.848259979529171
adult,Glove,100,8,0.8480040941658137
adult,w2v,100,8,0.8513306038894575
adult,Glove,100,8,0.8439099283520982
adult,w2v,100,8,0.8449334698055271
adult,Glove,100,8,0.8413510747185261
adult,w2v,100,8,0.846685436396212
adult,Glove,100,8,0.8428461735346814
adult,w2v,100,8,0.846685436396212
adult,Glove,100,8,0.8413104683900691
adult,w2v,100,8,0.8471973381110827
adult,Glove,100,8,0.8456616329664705
adult,w2v,100,8,0.849500895828001
adult,Glove,100,8,0.8459175838239058
adult,w2v,100,8,0.8471973381110827
adult,Glove,100,8,0.8413104683900691
adult,w2v,100,8,0.8489889941131302
adult,Glove,100,8,0.8410545175326337
adult,w2v,100,8,0.8454056821090351
adult,Glove,100,8,0.8400307141028922
adult,w2v,100,9,0.8433981576253838
adult,Glove,100,9,0.8403275332650972
adult,w2v,100,9,0.8244626407369499
adult,Glove,100,9,0.848259979529171
adult,w2v,100,9,0.8375127942681678
adult,Glove,100,9,0.8431422722620266
adult,w2v,100,9,0.856411568978756
adult,Glove,100,9,0.8477092398259534
adult,w2v,100,9,0.837727156385974
adult,Glove,100,9,0.8423342718198106
adult,w2v,100,9,0.8553877655490146
adult,Glove,100,9,0.8512925518300486
adult,w2v,100,9,0.8482211415408242
adult,Glove,100,9,0.851548502687484
adult,w2v,100,9,0.8423342718198106
adult,Glove,100,9,0.8351676478116201
adult,w2v,100,9,0.8392628615305862
adult,Glove,100,9,0.8469413872536473
adult,w2v,100,9,0.8413104683900691
adult,Glove,100,9,0.83849500895828
adult,w2v,200,0,0.836489252814739
adult,Glove,200,0,0.8311156601842374
adult,w2v,200,0,0.8544012282497441
adult,Glove,200,0,0.8444216990788127
adult,w2v,200,0,0.8426305015353122
adult,Glove,200,0,0.836489252814739
adult,w2v,200,0,0.844637829536729
adult,Glove,200,0,0.8410545175326337
adult,w2v,200,0,0.8415664192475045
adult,Glove,200,0,0.8326081392372664
adult,w2v,200,0,0.8454056821090351
adult,Glove,200,0,0.8359355003839263
adult,w2v,200,0,0.8518044535449194
adult,Glove,200,0,0.8482211415408242
adult,w2v,200,0,0.8418223701049399
adult,Glove,200,0,0.8423342718198106
adult,w2v,200,0,0.8541080112618378
adult,Glove,200,0,0.8507806501151779
adult,w2v,200,0,0.8369593038136678
adult,Glove,200,0,0.8428461735346814
adult,w2v,200,1,0.8431422722620266
adult,Glove,200,1,0.8439099283520982
adult,w2v,200,1,0.8367451381780963
adult,Glove,200,1,0.8321392016376663
adult,w2v,200,1,0.8444216990788127
adult,Glove,200,1,0.8393039918116684
adult,w2v,200,1,0.8510366009726132
adult,Glove,200,1,0.8436140261069874
adult,w2v,200,1,0.8407985666751984
adult,Glove,200,1,0.8310724340926542
adult,w2v,200,1,0.8443818786792936
adult,Glove,200,1,0.8431021243921167
adult,w2v,200,1,0.8428461735346814
adult,Glove,200,1,0.8241617609418992
adult,w2v,200,1,0.8443818786792936
adult,Glove,200,1,0.8528282569746609
adult,w2v,200,1,0.8471973381110827
adult,Glove,200,1,0.8433580752495521
adult,w2v,200,1,0.8471973381110827
adult,Glove,200,1,0.8484770923982595
adult,w2v,200,2,0.8316274309109519
adult,Glove,200,2,0.84007164790174
adult,w2v,200,2,0.8431422722620266
adult,Glove,200,2,0.84007164790174
adult,w2v,200,2,0.8477482088024565
adult,Glove,200,2,0.8393039918116684
adult,w2v,200,2,0.8510366009726132
adult,Glove,200,2,0.8500127975428717
adult,w2v,200,2,0.8397747632454569
